No;Ujung;Pangkal;Panjang;B;S;RR;RB
101;Telang;Buluh;3;2,5;0,5;0;0
102;Lambow;Alas Kokon;5;3,75;0,05;0,2;1
103;Banyubunih;Lantek Temor;4;2,25;1,3;0;0,45
104;Banjar / Pasar Jurang;Lantek Barat;5;3,5;0;0,8;0,7
105;Ra'as;Banteyan;6;1,55;1,5;0;2,95
106;Bunalas;Benangkah;5;1,35;2,1;0;1,55
107;Klampis Timur;Gangseyan;6;2,02;0,65;0;3,33
108;Blega Oloh;Karang Nangka;3;1,3;1,1;0;0,6
109;Dabung;Galis Dajah;4;2,4;0,9;0;0,7
110;Lajing;Glagga;5;0;1,1;0;3,9
111;Buluh Bawah;Pendabah;5;1,8;3,2;0;0
112;Kendaban;Banjar / Pasar Jurang;2,5;0;0,8;0;1,7
113;Tanah Merah Dajah;Tanah Merah Laok;1,1;1,1;0;0;0
114;Bumi Anyar;Tambak Pocok / Bts SP;5;0,65;4,35;0;0
115;Karang Leman;Soket laok;2;1,05;0,95;0;0
